,"Tank 1","Tank 2","Tank 3","Tank 4","Tank 5","Tank 6","Tank 7","Tank 8","Tank 9","Tank 10","Tank 11","Tank 12"
"Aulacoseira sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Chlamydomonas sp.",198,57,460,94,9896,71,9719,5230,0,127,1515,2120
"Chlorella vulgaris",14,1175,2017,542,70863,5372,90124,2144,146673,292,20953,52072
"Chloroidium ellipsoideum",33,56,235,71,1237,0,0,554,177,66,0,0
"Chroococcus sp.",0,0,47,0,0,0,0,0,0,0,0,0
"Chrysamoeba sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Chrysoccoccus punctiformis",5,0,12,0,0,0,0,165,0,0,0,0
"Chrysochromulina parva",0,5,94,24,0,0,0,106,353,80,0,0
"Closterium sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Cosmarium bioculatum",0,0,12,0,0,0,0,0,0,0,0,0
"Cryptomonas erosa",0,0,0,0,0,0,0,12,0,0,0,0
"Didymocystis inermis",0,0,0,0,0,0,0,164,0,18,504,0
"Golenkiniopsis sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Gymnodinium sp.",0,5,0,0,0,47,177,177,0,0,0,0
"Haematococcus pluvialis",14,0,12,106,0,0,0,0,0,0,0,0
"Kirchneriella obesa",0,0,0,0,0,0,0,0,0,0,0,0
"Koliella longiseta",0,52,59,4241,2121,4100,59730,16552,18025,156,64879,32044
"Lagerheimia genevensis",0,0,0,0,0,0,0,0,0,0,0,0
"Mallomonas sp.",0,0,35,0,0,24,0,0,0,0,0,0
"Monoraphidium sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Oocystis sp.",0,0,48,0,0,0,0,941,0,0,0,0
"Pantocsekiella ocellata",0,0,0,0,0,0,0,0,0,0,0,0
"Peridinium sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Rhodomonas minuta",0,0,0,0,0,0,0,0,0,0,0,0
"Scenedesmus sp.",19,0,71,60,1770,1396,708,48,177,62,2521,0
"Schroederia sp.",0,0,0,0,0,0,530,118,0,0,0,0
"Staurastrum sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Trachelomonas volvocina",0,0,0,0,0,0,0,36,0,0,0,0
"Treubaria schmidlei",0,0,0,0,0,0,0,0,0,0,0,0
