,"Tank 1","Tank 2","Tank 3","Tank 4","Tank 5","Tank 6","Tank 7","Tank 8","Tank 9","Tank 10","Tank 11","Tank 12"
"Aulacoseira sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Chlamydomonas sp.",236,0,471,24,0,401,0,306,848,518,141,188
"Chlorella vulgaris",336,215168,91326,36450,61450,11498,89347,636,155697,30112,21064,118564
"Chloroidium ellipsoideum",583,0,848,142,0,12,0,130,0,1696,47,0
"Chroococcus sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Chrysamoeba sp.",35,0,0,0,0,0,0,0,94,0,0,0
"Chrysoccoccus punctiformis",0,0,0,0,0,0,0,0,0,0,0,0
"Chrysochromulina parva",88,188,565,236,848,0,1508,94,848,471,895,2262
"Closterium sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Cosmarium bioculatum",0,0,0,0,0,0,0,0,0,0,0,0
"Cryptomonas erosa",0,0,0,0,0,0,0,0,0,0,0,0
"Didymocystis inermis",0,0,0,0,0,0,0,0,0,0,0,0
"Golenkiniopsis sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Gymnodinium sp.",0,0,0,0,0,12,0,0,0,0,0,0
"Haematococcus pluvialis",695,0,942,0,236,0,0,0,0,0,0,0
"Kirchneriella obesa",35,283,848,0,0,24,471,59,0,0,0,0
"Koliella longiseta",18,0,94,1319,424,2698,12629,2439,7257,2026,34683,14797
"Lagerheimia genevensis",0,0,94,0,0,24,0,0,0,47,0,0
"Mallomonas sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Monoraphidium sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Oocystis sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Pantocsekiella ocellata",0,0,0,0,0,0,0,0,0,0,0,0
"Peridinium sp.",24,0,0,0,1791,0,0,0,0,0,0,0
"Rhodomonas minuta",0,0,0,0,0,0,0,0,0,0,0,0
"Scenedesmus sp.",96,0,1226,96,376,0,0,426,0,8769,282,0
"Schroederia sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Staurastrum sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Trachelomonas volvocina",0,0,0,0,0,0,0,0,0,0,0,0
"Treubaria schmidlei",0,0,0,0,0,0,0,0,0,0,0,0
