,"Tank 1","Tank 2","Tank 3","Tank 4","Tank 5","Tank 6","Tank 7","Tank 8","Tank 9","Tank 10","Tank 11","Tank 12"
"Aulacoseira sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Chlamydomonas sp.",389,377,565,165,565,707,377,259,0,966,1131,377
"Chlorella vulgaris",966,155038,68612,17035,34825,25164,84917,1732,153907,14467,24457,90855
"Chloroidium ellipsoideum",459,0,1131,236,47,0,0,71,377,3487,942,0
"Chroococcus sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Chrysamoeba sp.",0,0,94,94,0,141,0,0,0,0,0,0
"Chrysoccoccus punctiformis",0,0,0,0,0,0,0,0,0,0,0,0
"Chrysochromulina parva",71,1696,1791,236,283,141,1131,47,0,212,188,0
"Closterium sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Cosmarium bioculatum",0,0,0,0,0,0,0,0,0,0,0,0
"Cryptomonas erosa",0,0,0,0,0,0,0,0,0,0,0,0
"Didymocystis inermis",0,0,0,0,0,0,0,0,0,0,0,0
"Golenkiniopsis sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Gymnodinium sp.",0,0,0,0,330,0,0,0,0,0,0,0
"Haematococcus pluvialis",907,0,565,0,2498,0,0,0,0,0,0,0
"Kirchneriella obesa",0,0,0,47,0,0,188,0,0,0,0,0
"Koliella longiseta",47,94,94,4901,377,11969,20735,9166,11969,6197,34777,12158
"Lagerheimia genevensis",0,0,0,0,0,0,0,35,0,0,0,0
"Mallomonas sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Monoraphidium sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Oocystis sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Pantocsekiella ocellata",0,0,0,0,0,0,0,0,0,0,0,0
"Peridinium sp.",0,0,0,47,3676,94,0,0,0,0,0,0
"Rhodomonas minuta",0,0,0,0,0,0,0,0,0,0,0,0
"Scenedesmus sp.",0,0,3396,920,987,5511,2826,0,564,7473,1320,0
"Schroederia sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Staurastrum sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Trachelomonas volvocina",0,0,0,0,0,0,0,0,0,0,0,0
"Treubaria schmidlei",0,0,0,0,0,0,0,0,0,0,0,0
