,"Tank 1","Tank 2","Tank 3","Tank 4","Tank 5","Tank 6","Tank 7","Tank 8","Tank 9","Tank 10","Tank 11","Tank 12"
"Aulacoseira sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Chlamydomonas sp.",41,177,94,47,0,0,0,0,0,0,0,188
"Chlorella vulgaris",565,192077,31667,57821,30301,38500,146673,1378,180249,55323,37039,120354
"Chloroidium ellipsoideum",460,0,801,47,47,0,0,82,0,612,94,0
"Chroococcus sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Chrysamoeba sp.",0,0,47,0,0,0,0,0,707,0,0,188
"Chrysoccoccus punctiformis",0,0,0,0,0,0,0,0,0,0,0,0
"Chrysochromulina parva",0,0,0,47,47,0,0,0,0,0,0,565
"Closterium sp.",0,0,0,0,0,47,0,0,0,0,0,0
"Cosmarium bioculatum",0,0,0,0,0,0,0,0,0,0,0,0
"Cryptomonas erosa",0,0,0,0,0,0,0,0,0,0,0,0
"Didymocystis inermis",0,0,0,0,0,0,0,0,0,0,0,0
"Golenkiniopsis sp.",24,0,0,141,0,0,1060,12,0,0,0,0
"Gymnodinium sp.",0,0,47,0,188,0,0,0,0,0,0,94
"Haematococcus pluvialis",29,0,613,0,1037,0,0,0,0,0,0,0
"Kirchneriella obesa",82,88,565,283,471,424,1414,0,0,377,236,471
"Koliella longiseta",24,0,47,942,94,2450,26861,1638,2827,47,16446,10179
"Lagerheimia genevensis",135,265,0,0,0,0,0,0,0,0,0,0
"Mallomonas sp.",0,0,0,0,0,0,0,12,0,0,0,0
"Monoraphidium sp.",0,0,0,47,0,0,0,0,0,0,0,0
"Oocystis sp.",0,0,0,0,0,0,0,48,0,0,0,0
"Pantocsekiella ocellata",0,0,0,0,0,0,0,0,0,141,0,0
"Peridinium sp.",0,0,0,0,565,0,0,0,0,0,0,188
"Rhodomonas minuta",6,0,0,0,0,0,0,0,0,0,236,0
"Scenedesmus sp.",54,0,987,0,94,2260,0,1428,2118,4285,282,0
"Schroederia sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Staurastrum sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Trachelomonas volvocina",0,0,0,0,0,0,0,0,0,0,0,0
"Treubaria schmidlei",18,0,0,0,0,0,0,0,0,0,0,0
